,SMILES,Dipole moments (Debye),charge status (extar electron number)
1,O[S](O)(=O)=O,2.482674641,0
2,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,2.884870794,3
3,C[P](O)(=O)CCC(N)C([O-])=O,10.39389171,1
4,c1ccc(cc1)[P](=[N+]=[P](c2ccccc2)(c3ccccc3)c4ccccc4)(c5ccccc5)c6ccccc6,1.142034957,-1
5,ClCC[NH2+]CCCl,3.444716464,-1
6,NCCO,1.266523817,0
7,OC(=O)c1nc(Cl)ccc1Cl,2.128142886,0
8,CC(=C)C(=O)OCC[N+](C)(C)CCC[S]([O-])(=O)=O,18.71292841,0
9,CCCCCCCCCCCCCC[N+](C)(C)C,21.48072968,-1
10,CCCC[N+](CCCC)(CCCC)CCCC,1.673201306,-1
11,O[S]([O-])(=O)=O,2.211984772,1
12,C[N+](C)(C)C,0.001235371,-1
13,C[N+](C)(C)Cc1ccccc1,6.253144115,-1
14,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,10.19417197,-1
15,CC[N+](CC)(CC)CC,0.470398052,-1
16,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,0.000459667,-1
17,C[N+](C)(CC=C)CC=C,2.624518045,-1
18,CCC[N+](CCC)(CCC)CCC,0.725522316,-1
19,F[B-](F)(F)F,0.001590361,1
20,CCCCCCCCCC[N+](C)(C)C,16.31523221,-1
21,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,3.295888234,-1
22,C[N+](C)(C)CCBr,8.808758039,-1
23,C[N+](C)(C)CC1CO1,4.331805336,-1
24,CCCCCCCCCCCCCCCC[N+](C)(C)CC,25.55839437,-1
25,CCCCCCCCCCCC[N+](C)(C)C,18.54047361,-1
26,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,5.930356931,-1
27,C[N+](C)(C)CCCl,5.930356931,-1
28,CCCCCCCCCCCCCCCC[N+](C)(C)C,27.26289418,-1
29,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,14.62441632,-1
30,CCCC[N+](CCCC)(CCCC)Cc1ccccc1,2.129188473,-1
31,CC[N+](CC)(CC)Cc1ccccc1,4.32361534,-1
32,CCCC[N+](CC)(CC)CC,2.644939675,-1
33,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]([C@H]1O)C([O-])=O)Oc2c[nH]c3cc(Cl)ccc23,12.61977932,1
34,CN(C)[CH+]Cl,3.428133589,-1
35,CN(C)[C+](Cl)Cl,4.029910024,-1
36,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,8.74590578,-1
37,CCNCC,0.890323502,0
38,CCN(CC)C(S)=S,4.684168897,0
39,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,#VALUE!,-1
40,CN(C)[CH2+],0.738592625,-1
41,CCCCCC[N+](C)(C)C,8.496360095,-1
42,C[N+](C)(C)CI,9.027145681,-1
43,OCC[S]([O-])(=O)=O,3.697456575,1
44,CCCC[N+](C)(CCCC)CCCC,1.456875933,-1
45,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,32.05785785,-1
46,C[N+](C)(C)c1ccccc1,4.534966376,-1
47,SC(=S)N1CCCC1,5.318663788,0
48,CC([O-])=O,2.998535692,1
49,[N-]=[N+]=[N-],0.000771283,1
50,F[P-](F)(F)(F)(F)F,0.001009895,1
51,[O-][N+]([O-])=O,0.000421059,1
52,[O-][Cl](=O)(=O)=O,0.000931519,1
53,O[P](O)([O-])=O,2.71521144,1
54,c1ccc(cc1)[B-](c2ccccc2)(c3ccccc3)c4ccccc4,0.00431017,1
