SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
CCOC(=O)C[C@H](C)O,6950306,-1.087,-1.49,-1.158
CC1=CN=NC=C1,136882,-0.519,-1.394,-1.148
CC1=NCCC1,70103,-0.41,-1.37,-1.124
CCCC(=O)N(CC)CC,66192,-0.352,-1.365,-1.125
CC1=C(OC(=N1)C)C,30215,-0.374,-1.369,-1.069
CCCC(=O)N(C)C,12973,-0.046,-1.367,-1.074
COC(=O)CC(=O)OC,7943,-0.03,-1.602,-1.093
CC(=O)OCC1CCCO1,12506,-0.487,-1.368,-1.017
CC(C)(C(=O)OC)C(=O)OC,138651,-0.265,-1.609,-1.083
CCC(=O)N(C)C,12965,-0.499,-1.313,-1.114
CC1=CC(=O)CCC1,14511,-0.252,-1.355,-0.995
CC1=CC=NN1,15073,-0.503,-1.311,-1.168
CCOC(=O)CSC,78199,-0.398,-1.494,-1.278
C[Si](C)(C)N1CCCC1=O,84461,-0.391,-1.609,-1.21
CCC(C(=O)C)C(=O)OCC,79065,-0.584,-1.638,-1.069
CCCC(=O)OC[C@@H]1CO1,6999819,-0.495,-1.646,-1.122
COCC(=O)OC,80507,-0.614,-1.568,-0.963
CCN(CC)C(=O)C,12703,-0.481,-1.568,-0.963
CCO[Si](C)(C)C=C,79315,-0.323,-1.293,-1.082
C1CC[C@H]2CNC[C@H]2C1,10964494,-0.222,-1.338,-1.232
CC1(OC[C@@H](O1)C=O)C,259712,-0.456,-1.289,-1.112
CC(=C)CNCC(=C)C,233709,-0.05,-1.318,-1.211
CCC1C=CC=CC1=O,56635372,-0.253,-1.296667349,-1.173666233
C1CCC2CNCC2C1,409979,-0.226,-1.35,-1.256
CCCN1C=CN=C1,118785,-0.458,-1.549,-1.282
CC(C)CC(C)OC(=O)C,7959,-0.284,-1.298,-1.192
CC=C(C)C(=O)OC,23104,-0.221,-1.292,-1.178
CC[C@@H](C(=O)C)C(=O)OCC,6994176,-0.588,-1.636,-1.014
CCCCN1CCCC1,69843,-0.086,-1.451,-1.301
C[Si](C)(C)C#CC=O,2760865,-0.553,-1.299,-1.198
CC(=C)C(=O)OC(C)(C)C,11448,-0.05,-1.281,-1.147
CCCCOCCOC(=O)C,8160,-0.13,-1.297,-1.195
CCC(CC)C(=O)OC,69951,-0.249,-1.294,-1.19
CCC(=O)C(=O)OCC,85195,-0.351,-1.349,-0.958
CCOC[C@H](C)O,6993458,-0.178,-1.459,-1.304
CC=C(C)C(=O)OCC=C,61409,-0.526,-1.291,-1.187
C1CCC2CNCCC2C1,97812,-0.022,-1.415,-1.297
CCCOC(=O)C(C)C,12571,-0.067,-1.284,-1.172
C[C@@H](C(=O)OC)OC,7015774,-0.482,-1.654,-1.18
CN(C)CCCC(OC)OC,10374734,-0.142,-1.637,-1.003
CC(C(=O)OC)C(=O)OC,69104,-0.307,-1.275,-1.147
CO[C@@H](C(F)(F)F)O,6999964,-0.423,-1.271,-1.093
CC(C)COC(=O)C(=C)C,7352,-0.236,-1.286,-1.191
CCOC=CC#N,43601,-0.227,-1.297137477,-1.21298416
CCN(C)C(=O)C,13390905,-0.319,-1.287,-1.194
C[C@H](COC)O,2733589,-0.474,-1.657,-1.185
CC(=O)CCCO,14066,-0.558,-1.645,-1.01
CCNC=O,12319,-0.786,-1.633,-1.229
CC1=NC(=CC=C1)C,7937,-0.278,-1.290237306,-1.202554323
COC1CCCCC1=O,110998,1.244,-1.283,-1.187
C/C=C(\C)/C(=O)OC,5323652,-0.221,-1.292,-1.207
CCCOC(=O)CC,7803,-0.41,-1.298,-1.219
COC(=O)/C=C/C=C,6001087,-0.418,-1.276,-1.173
COC(C(F)(F)F)O,9892,-0.419,-1.268,-1.078
CCC=CC(=O)OC,519179,-0.462,-1.284,-1.196
CC(=O)OCOC(=O)C,12345,-0.515,-1.344,-0.948
COC/C=C/C(=O)OC,641429,-0.153,-1.271,-1.161
CC1(CC(=O)CCO1)C,1738159,-0.357,-1.299,-1.224
COC(=O)C=CC=C,73688,-0.405,-1.275,-1.175
CN1CCCCC1CO,89394,-0.239,-1.299790199,-1.22925418
CC(C=O)(OC)OC,7568181,-0.346,-1.292212062,-1.217992547
CC(C)N1C=CN=C1,10176113,-0.289,-1.564,-1.296
COC(=O)C1CCC1,136594,-0.401,-1.262,-1.13
CCC(C)C(=O)OC,13357,-0.263,-1.274,-1.183
CC=CC(=O)OC,12181,-0.34,-1.271,-1.175
CCO/C=C(\C)/C(=O)OCC,12637823,-0.282,-1.361,-0.93
C[Si](C)(C)C1=CC=CC=N1,139573,-0.403,-1.288749477,-1.217096209
CC(C)C(=O)N(C)C,243415,-0.229,-1.282,-1.205
CCNC(=O)OC(C)(C)C,11198486,-0.754,-1.632,-1.246
C1CC(OC1)CN,253298,-0.136,-1.289,-1.222
CC(=O)C1=NCCC1,522834,-0.208,-1.299316662,-1.237752401
COC1CCC(O1)OC,79098,-0.558,-1.642,-0.984
CC(C)(C)OC[C@@H]1CO1,11768605,-0.232,-1.645,-0.988
C1CCC2C(C1)CCCN2,92911,-0.213,-1.402,-1.313
CC(C)OC(N(C)C)OC(C)C,87682,-0.3,-1.257,-1.142
CC(C)CC(=O)CC(=O)C,76354,-0.367,-1.289,-1.227
CCCCC(C#C)O,93050,-0.309,-1.288,-1.226
CCC(COC)O,40895,-0.036,-1.648,-0.986
CCOCC(OCC)OCC,43390,-0.024,-1.675,-1.181
C1C=CC(=O)O1,10341,-0.497,-1.265,-1.182
CC(C)COC(=O)C=C,7819,-0.285,-1.258,-1.158
COCC1=CC=CC=C1,10869,-0.55,-1.276656716,-1.209945528
C=C(CO)CO,77048,-0.603,-1.475,-1.328
CCOC(=O)NC,7752,-0.144,-1.268580897,-1.196097915
CC(=O)C#C[Si](C)(C)C,2734664,-0.403,-1.282365211,-1.223589273
C/C=C(/C)\C(=O)OC,5356352,-0.516,-1.257,-1.164
CC(C)(C)OC(=O)C1CC1,13676038,-0.055,-1.25,-1.116
CCSCC(=O)C,88750,-0.724,-1.306,-1.257
CC(C)NC(=O)C,136874,-0.613,-1.299,-1.249
CCOC(=O)CC(F)(F)F,2782349,-0.109,-1.256,-1.163
CCCCOC(=O)C(=C)C,7354,-0.039,-1.289,-1.236
C1CCC(C1)C=O,70106,-0.396,-1.258,-1.175
CCN(CC)C(=O)C=C,17583,-0.288,-1.284,-1.233
CO[Si](C)(C)O[Si](C)(C)OC,519526,-0.485,-1.366,-0.91
